Address,Size,Name,Category,Tier
0x00000071000bfaa0,576,FUN_71000bfaa0,complex_large,VERY_HARD
0x00000071000c08e0,1024,FUN_71000c08e0,complex_large,VERY_HARD
0x00000071000c1260,5680,FUN_71000c1260,complex_large,VERY_HARD
0x00000071000c2890,512,FUN_71000c2890,complex_large,VERY_HARD
0x00000071000c36e0,560,FUN_71000c36e0,complex_large,VERY_HARD
0x00000071000c3b20,3152,FUN_71000c3b20,complex_large,VERY_HARD
0x00000071000c4770,1024,FUN_71000c4770,complex_large,VERY_HARD
0x00000071000c64e0,1152,FUN_71000c64e0,complex_large,VERY_HARD
0x00000071000c6a60,912,FUN_71000c6a60,complex_large,VERY_HARD
0x00000071000c88c0,1248,FUN_71000c88c0,complex_large,VERY_HARD
0x00000071000c9210,528,FUN_71000c9210,complex_large,VERY_HARD
0x00000071000c9580,1152,FUN_71000c9580,complex_large,VERY_HARD
0x00000071000c9ce0,592,FUN_71000c9ce0,complex_large,VERY_HARD
0x00000071000caef0,752,FUN_71000caef0,complex_large,VERY_HARD
0x00000071000cb4b0,976,FUN_71000cb4b0,complex_large,VERY_HARD
0x00000071000cbbb0,1056,FUN_71000cbbb0,complex_large,VERY_HARD
0x00000071000cc210,512,FUN_71000cc210,complex_large,VERY_HARD
0x00000071000cc600,672,FUN_71000cc600,complex_large,VERY_HARD
0x00000071000cc8a0,1072,FUN_71000cc8a0,complex_large,VERY_HARD
0x00000071000cd430,560,FUN_71000cd430,complex_large,VERY_HARD
0x00000071000cd7b0,1312,FUN_71000cd7b0,complex_large,VERY_HARD
0x00000071000cdcd0,944,FUN_71000cdcd0,complex_large,VERY_HARD
0x00000071000ce080,608,FUN_71000ce080,complex_large,VERY_HARD
0x00000071000ce2e0,1184,FUN_71000ce2e0,complex_large,VERY_HARD
0x00000071000ce8c0,784,FUN_71000ce8c0,complex_large,VERY_HARD
0x00000071000cfa20,1584,FUN_71000cfa20,complex_large,VERY_HARD
0x00000071000d01d0,1856,FUN_71000d01d0,complex_large,VERY_HARD
0x00000071000d1b10,528,FUN_71000d1b10,complex_large,VERY_HARD
0x00000071000d2430,1408,FUN_71000d2430,complex_large,VERY_HARD
0x00000071000d2ca0,784,FUN_71000d2ca0,complex_large,VERY_HARD
0x00000071000d3490,1120,FUN_71000d3490,complex_large,VERY_HARD
0x00000071000d5900,1392,FUN_71000d5900,complex_large,VERY_HARD
0x00000071000d9010,832,FUN_71000d9010,complex_large,VERY_HARD
0x00000071000da180,1776,FUN_71000da180,complex_large,VERY_HARD
0x00000071000da970,3104,FUN_71000da970,complex_large,VERY_HARD
0x00000071000db590,3600,FUN_71000db590,complex_large,VERY_HARD
0x00000071000de710,3776,FUN_71000de710,complex_large,VERY_HARD
0x00000071000e08e0,608,FUN_71000e08e0,complex_large,VERY_HARD
0x00000071000e0b40,5840,FUN_71000e0b40,complex_large,VERY_HARD
0x00000071000e2370,8144,FUN_71000e2370,complex_large,VERY_HARD
0x00000071000e62d0,1696,FUN_71000e62d0,complex_large,VERY_HARD
0x00000071000e6970,1600,FUN_71000e6970,complex_large,VERY_HARD
0x00000071000e6fb0,1840,FUN_71000e6fb0,complex_large,VERY_HARD
0x00000071000e76e0,2832,FUN_71000e76e0,complex_large,VERY_HARD
0x00000071000e8290,1776,FUN_71000e8290,complex_large,VERY_HARD
0x00000071000e8980,1648,FUN_71000e8980,complex_large,VERY_HARD
0x00000071000e8ff0,1648,FUN_71000e8ff0,complex_large,VERY_HARD
0x00000071000e9660,1648,FUN_71000e9660,complex_large,VERY_HARD
0x00000071000e9e30,1456,FUN_71000e9e30,complex_large,VERY_HARD
0x00000071000ea3e0,800,FUN_71000ea3e0,complex_large,VERY_HARD
0x00000071000ea700,2160,FUN_71000ea700,complex_large,VERY_HARD
0x00000071000eaf70,1808,FUN_71000eaf70,complex_large,VERY_HARD
0x00000071000ebe50,832,FUN_71000ebe50,complex_large,VERY_HARD
0x00000071000ec190,592,FUN_71000ec190,complex_large,VERY_HARD
0x00000071000ec510,1456,FUN_71000ec510,complex_large,VERY_HARD
0x00000071000f0ae0,2800,FUN_71000f0ae0,complex_large,VERY_HARD
0x00000071000f15d0,2832,FUN_71000f15d0,complex_large,VERY_HARD
0x00000071000f70d0,7680,FUN_71000f70d0,complex_large,VERY_HARD
0x00000071000f9670,3984,FUN_71000f9670,complex_large,VERY_HARD
0x00000071001049c0,800,FUN_71001049c0,complex_large,VERY_HARD
0x000000710010fec0,3808,FUN_710010fec0,complex_large,VERY_HARD
0x0000007100111aa0,2816,FUN_7100111aa0,complex_large,VERY_HARD
0x0000007100113d70,3600,FUN_7100113d70,complex_large,VERY_HARD
0x0000007100114f30,960,FUN_7100114f30,complex_large,VERY_HARD
0x0000007100115da0,1696,FUN_7100115da0,complex_large,VERY_HARD
0x0000007100116a50,800,FUN_7100116a50,complex_large,VERY_HARD
0x0000007100118f30,2848,FUN_7100118f30,complex_large,VERY_HARD
0x0000007100119a50,1632,FUN_7100119a50,complex_large,VERY_HARD
0x000000710011a0b0,1584,FUN_710011a0b0,complex_large,VERY_HARD
0x000000710011a6e0,3088,FUN_710011a6e0,complex_large,VERY_HARD
0x000000710011d1c0,1424,FUN_710011d1c0,complex_large,VERY_HARD
0x000000710011d970,1680,FUN_710011d970,complex_large,VERY_HARD
0x000000710011e000,1392,FUN_710011e000,complex_large,VERY_HARD
0x000000710011e570,800,FUN_710011e570,complex_large,VERY_HARD
0x000000710011e9d0,608,FUN_710011e9d0,complex_large,VERY_HARD
0x000000710011ec30,928,FUN_710011ec30,complex_large,VERY_HARD
0x0000007100123910,928,FUN_7100123910,complex_large,VERY_HARD
0x0000007100124840,1024,FUN_7100124840,complex_large,VERY_HARD
0x0000007100125fa0,1056,FUN_7100125fa0,complex_large,VERY_HARD
0x0000007100126560,928,FUN_7100126560,complex_large,VERY_HARD
0x0000007100126a70,512,FUN_7100126a70,complex_large,VERY_HARD
0x0000007100127770,736,FUN_7100127770,complex_large,VERY_HARD
